epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,644.867,1.52925,1.6012,1.71649,0.68976,0.65297,0.66781,0.35928,1.37422,2.05984,1.69217,0.00736,0.00736,0.00736
10,702.514,1.52932,1.64169,1.71111,0.62575,0.61077,0.6183,0.35978,1.39008,1.75297,1.69992,0.00703,0.00703,0.00703
11,760.151,1.49706,1.59774,1.67689,0.56004,0.64384,0.58603,0.3404,1.36666,2.1883,1.70331,0.0067,0.0067,0.0067
12,817.962,1.53404,1.6026,1.71118,0.72381,0.61187,0.68568,0.39464,1.431,2.23781,1.71738,0.00637,0.00637,0.00637
13,875.663,1.46643,1.55463,1.66237,0.62351,0.6484,0.67949,0.38513,1.3654,1.67037,1.66783,0.00604,0.00604,0.00604
14,933.207,1.51243,1.60694,1.70404,0.73014,0.60274,0.67141,0.38679,1.3682,1.9011,1.68961,0.00571,0.00571,0.00571
15,990.692,1.44866,1.55148,1.66616,0.70656,0.69406,0.72969,0.42155,1.28428,1.70612,1.60132,0.00538,0.00538,0.00538
16,1048.45,1.40148,1.49349,1.62465,0.67176,0.65414,0.65361,0.38833,1.35706,1.60269,1.64696,0.00505,0.00505,0.00505
17,1106.03,1.44295,1.54603,1.65444,0.84364,0.55251,0.70993,0.41839,1.32523,1.73529,1.64157,0.00472,0.00472,0.00472
18,1163.58,1.37602,1.44634,1.61019,0.78777,0.59817,0.71377,0.42318,1.31092,1.69399,1.64005,0.00439,0.00439,0.00439
19,1221.16,1.4103,1.47176,1.62089,0.70147,0.69741,0.71098,0.4433,1.3094,1.45766,1.62168,0.00406,0.00406,0.00406
20,1278.9,1.35434,1.42209,1.60638,0.65183,0.70098,0.716,0.44698,1.22658,1.46947,1.56216,0.00373,0.00373,0.00373
21,1335.72,1.36025,1.43835,1.77275,0.69989,0.65753,0.71203,0.43366,1.30158,1.59771,1.65202,0.0034,0.0034,0.0034
22,1392.38,1.3711,1.2905,1.75753,0.70633,0.68493,0.70761,0.4405,1.28222,1.41502,1.62355,0.00307,0.00307,0.00307
23,1449.06,1.33178,1.25892,1.74002,0.81184,0.66985,0.74812,0.46132,1.27065,1.57594,1.64387,0.00274,0.00274,0.00274
24,1505.86,1.28432,1.22057,1.67035,0.67528,0.73117,0.75267,0.45958,1.27804,1.31626,1.61809,0.00241,0.00241,0.00241
25,1562.61,1.30096,1.19557,1.67794,0.7606,0.71085,0.74881,0.47721,1.21797,1.32123,1.57326,0.00208,0.00208,0.00208
26,1619.45,1.22978,1.18323,1.64417,0.78174,0.6895,0.75416,0.48721,1.24148,1.38862,1.61641,0.00175,0.00175,0.00175
27,1676.21,1.20785,1.18674,1.61018,0.71383,0.68037,0.73617,0.47716,1.23058,1.38958,1.5672,0.00142,0.00142,0.00142
28,1732.88,1.19618,1.19616,1.58109,0.82424,0.6347,0.75452,0.49156,1.19664,1.32654,1.56728,0.00109,0.00109,0.00109
29,1789.73,1.20122,1.14555,1.58266,0.77414,0.67298,0.76842,0.51117,1.18867,1.23073,1.55235,0.00076,0.00076,0.00076
30,1846.63,1.16805,1.11759,1.59082,0.77787,0.68493,0.77194,0.51244,1.16726,1.2215,1.52533,0.00043,0.00043,0.00043
1,52.4357,3.06159,4.47524,3.15751,0.00503,0.0137,0.00205,0.0004,nan,nan,nan,0.0702752,0.00330275,0.00330275
2,102.236,3.15005,3.91634,3.28583,0.00503,0.0137,0.00205,0.0004,nan,nan,nan,0.0402741,0.00663496,0.00663496
3,151.616,3.04436,3.78742,3.24536,0.00058,0.00457,0.00029,3e-05,nan,nan,nan,0.0102685,0.00996266,0.00996266
4,201.402,2.95193,3.75547,3.16077,0.01279,0.0274,0.00472,0.0012,nan,nan,nan,0.00998474,0.00998474,0.00998474
5,251.164,2.95838,3.4335,3.18226,0.00662,0.48858,0.01008,0.00248,3.32665,3.05193,3.53458,0.00997288,0.00997288,0.00997288
6,300.863,2.8243,3.27665,3.08809,0.00749,0.31963,0.01323,0.00255,3.01006,5.62612,3.24753,0.00995765,0.00995765,0.00995765
7,350.566,2.85277,3.32996,3.05349,0.00451,0.68037,0.00795,0.0019,3.09493,3.79139,3.24002,0.00993906,0.00993906,0.00993906
8,400.008,2.84054,3.27848,2.99627,0.0035,0.73516,0.00892,0.00197,3.04304,5.11662,3.1192,0.00991711,0.00991711,0.00991711
1,38.2159,2.37003,2.96303,2.48634,0,0,0,0,nan,nan,nan,0.0702752,0.00330275,0.00330275
2,75.5205,2.37583,2.96243,2.56071,0.00438,0.07306,0.00218,0.00052,4.19962,inf,354.902,0.0402741,0.00663496,0.00663496
3,111.972,2.27358,2.85998,2.42043,0.02683,0.26941,0.01354,0.00346,3.03039,88.8304,7.46769,0.0102685,0.00996266,0.00996266
4,148.289,2.2166,2.71129,2.33836,0.02679,0.34703,0.01694,0.00414,nan,nan,nan,0.00998474,0.00998474,0.00998474
5,184.917,2.09693,2.49239,2.23377,0.1283,0.26484,0.06661,0.02056,nan,nan,nan,0.00997288,0.00997288,0.00997288
6,221.343,2.05494,2.38864,2.1537,0.21906,0.16438,0.11225,0.03093,2.44279,3.68189,2.7978,0.00995765,0.00995765,0.00995765
7,257.818,2.05698,2.36976,2.13366,0.19514,0.29449,0.15395,0.04875,2.18104,4.69325,2.50524,0.00993906,0.00993906,0.00993906
8,294.293,2.01598,2.36628,2.10667,0.28198,0.29224,0.23237,0.082,2.06263,3.64321,2.34746,0.00991711,0.00991711,0.00991711
9,330.794,2.04219,2.35329,2.14693,0.23163,0.31507,0.18367,0.06408,1.99862,4.76307,2.31253,0.00989183,0.00989183,0.00989183
10,367.168,1.95421,2.23814,2.08143,0.40539,0.3516,0.32392,0.13842,1.84663,3.28027,2.17887,0.00986323,0.00986323,0.00986323
11,403.676,1.99979,2.23723,2.07996,0.30537,0.3653,0.24165,0.08959,2.03069,nan,2.22238,0.00983133,0.00983133,0.00983133
12,439.999,1.92613,2.28131,2.06745,0.37114,0.41096,0.36574,0.15145,1.83982,4.11843,2.0626,0.00979616,0.00979616,0.00979616
13,476.524,1.89607,2.14996,1.98098,0.41277,0.41083,0.36798,0.14731,1.83373,3.44486,2.06848,0.00975773,0.00975773,0.00975773
14,512.953,1.88758,2.13827,2.01293,0.36823,0.37443,0.3203,0.12253,1.86909,4.11516,2.15808,0.00971608,0.00971608,0.00971608
15,549.698,1.86164,2.118,1.97581,0.29441,0.21461,0.15047,0.06619,nan,nan,nan,0.00967122,0.00967122,0.00967122
16,586.969,1.85942,2.07668,1.96595,0.32287,0.34247,0.25817,0.10044,2.03613,4.27451,2.24349,0.0096232,0.0096232,0.0096232
17,624.891,1.82788,2.05276,1.93889,0.39392,0.3653,0.34714,0.13739,1.90587,4.63497,2.12907,0.00957205,0.00957205,0.00957205
18,662.151,1.79715,2.00544,1.89661,0.42943,0.42466,0.36798,0.17098,1.62123,3.75896,1.9564,0.0095178,0.0095178,0.0095178
19,699.634,1.76564,1.9439,1.89203,0.4499,0.49772,0.44939,0.20678,1.65623,4.34819,1.95091,0.00946048,0.00946048,0.00946048
20,736.891,1.74375,1.88158,1.85125,0.44261,0.3626,0.3419,0.15511,1.86414,3.85339,2.10026,0.00940014,0.00940014,0.00940014
21,773.881,1.71847,1.83308,1.82576,0.49965,0.52055,0.49228,0.243,1.65882,3.37358,1.94144,0.00933683,0.00933683,0.00933683
22,810.894,1.69391,1.81386,1.82037,0.4056,0.45662,0.40664,0.16507,1.82842,3.72757,2.07675,0.00927057,0.00927057,0.00927057
23,847.525,1.72034,1.84491,1.83807,0.51219,0.49862,0.52293,0.25016,1.65522,3.86633,1.94385,0.00920142,0.00920142,0.00920142
24,884.262,1.67965,1.77258,1.81222,0.51175,0.53881,0.52456,0.26346,1.58704,2.95025,1.89566,0.00912942,0.00912942,0.00912942
25,921.02,1.7073,1.83632,1.8271,0.56602,0.45262,0.48425,0.22717,1.61372,3.32004,1.93639,0.00905463,0.00905463,0.00905463
26,957.659,1.70496,1.81315,1.82192,0.58425,0.43836,0.50878,0.2503,1.60195,3.3652,1.94112,0.0089771,0.0089771,0.0089771
27,994.365,1.69285,1.8456,1.82736,0.51302,0.53877,0.47612,0.24255,1.52754,3.87861,1.85925,0.00889687,0.00889687,0.00889687
28,1031.04,1.64017,1.75408,1.78872,0.52694,0.55442,0.52809,0.25565,1.58548,3.17114,1.86468,0.00881401,0.00881401,0.00881401
29,1067.65,1.65317,1.76872,1.77082,0.55178,0.61187,0.57644,0.26866,1.58379,3.99858,1.88001,0.00872857,0.00872857,0.00872857
30,1104.57,1.63791,1.80853,1.76595,0.5911,0.54795,0.58464,0.29991,1.51621,4.76572,1.80598,0.0086406,0.0086406,0.0086406
31,1141.33,1.6285,1.73685,1.74025,0.5898,0.51868,0.57586,0.29675,1.53235,3.20972,1.82049,0.00855018,0.00855018,0.00855018
32,1178.08,1.58144,1.73639,1.72928,0.52675,0.52968,0.53774,0.29443,1.47401,2.73664,1.80993,0.00845736,0.00845736,0.00845736
33,1214.76,1.58598,1.68569,1.709,0.65684,0.57991,0.61904,0.29659,1.60792,2.33809,1.84879,0.0083622,0.0083622,0.0083622
